"site","src","index","date","temp"
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-09-01,11.217
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-10-01,11.758
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-11-01,12.383
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1979-12-01,13.113
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-01-01,13.774
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-02-01,12.828
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-03-01,13.145
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-04-01,12.367
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-05-01,11.742
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-06-01,11.5
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-07-01,11.129
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-08-01,12.194
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-09-01,12.25
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-10-01,11.726
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-11-01,12.717
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1980-12-01,12.871
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-01-01,13.079
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-02-01,14
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-03-01,12.855
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-04-01,11.846
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-05-01,12.172
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-06-01,11.383
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-07-01,11.306
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-08-01,11.694
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-09-01,12
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-10-01,12.081
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-11-01,12.154
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1981-12-01,12.292
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-01-01,12.167
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-02-01,12.826
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-03-01,12.5
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-04-01,11.875
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-05-01,12.24
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-06-01,11.24
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-07-01,11.222
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-08-01,10.48
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-09-01,11.08
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-10-01,11.75
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-11-01,12.333
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1982-12-01,12.208
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-01-01,11.96
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-02-01,11.208
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-03-01,11.593
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-04-01,12.692
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-05-01,12.042
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-06-01,11.625
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-07-01,11.333
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-08-01,11.154
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-09-01,11.778
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-10-01,11.538
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-11-01,12.692
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1983-12-01,12.435
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-01-01,14.04
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-02-01,13.92
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-03-01,13.259
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-04-01,14
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-05-01,13
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-06-01,12.042
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-07-01,11.308
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-08-01,11.185
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-09-01,12.04
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-10-01,12.556
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-11-01,11
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1984-12-01,12.13
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-01-01,12.889
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-02-01,13.25
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-03-01,12.28
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-04-01,12.68
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-05-01,12.615
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-06-01,11.92
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-07-01,11.522
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-08-01,11.571
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-09-01,11.935
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-10-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-11-01,12.763
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1985-12-01,14.032
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-01-01,12.129
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-02-01,12.482
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-03-01,12.435
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-04-01,12.567
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-05-01,11.855
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-06-01,13.367
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-07-01,12.177
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-08-01,12.919
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-09-01,11.883
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-10-01,11.871
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-11-01,11.967
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1986-12-01,12.903
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-01-01,12.344
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-02-01,11.659
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-03-01,12.129
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-04-01,11.9
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-05-01,11.952
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-06-01,11.933
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-07-01,11.532
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-08-01,11.532
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-09-01,11.65
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-10-01,11.871
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-11-01,11.933
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1987-12-01,13.613
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-01-01,11.484
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-02-01,12.6
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-03-01,14.833
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-04-01,11.817
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-05-01,11.919
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-06-01,12.117
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-07-01,10.567
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-08-01,11.113
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-09-01,11.133
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-10-01,11.403
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-11-01,11.75
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1988-12-01,13.645
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-01-01,14
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-02-01,14.339
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-03-01,12.984
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-04-01,12.867
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-05-01,13.242
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-06-01,12.4
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-07-01,11.548
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-08-01,11.645
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-09-01,11.067
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-10-01,10.806
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-11-01,11.35
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1989-12-01,11.887
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-01-01,12.683
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-02-01,15.571
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-03-01,14.177
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-04-01,13.65
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-05-01,12.806
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-06-01,11.25
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-07-01,10.935
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-08-01,10.645
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-09-01,11.133
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-10-01,11.258
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-11-01,11.733
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1990-12-01,12.694
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-01-01,12.21
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-02-01,12.536
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-03-01,12.855
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-04-01,12.467
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-05-01,12.016
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-06-01,12.15
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-07-01,12.145
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-08-01,10.823
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-09-01,11.033
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-10-01,11.45
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-11-01,11.19
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1991-12-01,11.177
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-01-01,11.129
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-02-01,12.897
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-03-01,12.548
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-04-01,12.65
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-05-01,11.032
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-06-01,10.8
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-07-01,10.79
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-08-01,10.742
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-09-01,10.767
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-10-01,12.375
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-11-01,11.37
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1992-12-01,11.5
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-01-01,11.806
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-02-01,12.357
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-03-01,12.274
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-04-01,13.417
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-05-01,11.952
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-06-01,11.433
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-07-01,12.194
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-08-01,11.71
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-09-01,10.776
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-10-01,10.952
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-11-01,11.667
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1993-12-01,11.983
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-01-01,12.983
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-02-01,14.071
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-03-01,13.887
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-04-01,13.55
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-05-01,11.887
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-06-01,11.433
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-07-01,11.21
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-08-01,11.107
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-09-01,11.917
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-10-01,11.516
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-11-01,12.348
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1994-12-01,12.565
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-01-01,13.532
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-02-01,13.839
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-03-01,13.677
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-04-01,13.017
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-05-01,13.583
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-06-01,12.35
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-07-01,11.355
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-08-01,11.467
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-09-01,11.25
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-10-01,12.385
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-11-01,11.857
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1995-12-01,15.532
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-01-01,13.79
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-02-01,13.724
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-03-01,13.194
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-04-01,13.283
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-05-01,12.887
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-06-01,13.45
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-07-01,12.339
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-08-01,11.79
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-09-01,12.267
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-10-01,11.758
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-11-01,11.95
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1996-12-01,12.581
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-01-01,12.532
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-02-01,12.018
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-03-01,11.903
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-04-01,12.317
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-05-01,12.034
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-06-01,12.583
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-07-01,12
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-08-01,11.452
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-09-01,12.7
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-10-01,11.839
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-11-01,12.483
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1997-12-01,12.933
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-01-01,12.742
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-02-01,14.5
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-03-01,13.032
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-04-01,12.717
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-05-01,12.167
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-06-01,11.367
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-07-01,10.903
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-08-01,11.403
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-09-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-10-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-11-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1998-12-01,NA
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-01-01,12.516
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-02-01,12.982
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-03-01,12.548
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-04-01,13.25
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-05-01,13.097
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-06-01,12.7
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-07-01,12.581
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-08-01,12.468
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-09-01,12.417
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-10-01,12.065
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-11-01,11.883
"Port Nolloth","SAWS","Port Nolloth/ SAWS",1999-12-01,12.895
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-01-01,13.417
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-02-01,12.327
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-03-01,12.532
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-04-01,12.65
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-05-01,11.355
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-06-01,12.333
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-07-01,11.968
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-08-01,12.016
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-09-01,11.167
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-10-01,11.597
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-11-01,13.533
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2000-12-01,12.226
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-01-01,12.435
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-02-01,13.107
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-03-01,13.387
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-04-01,12.846
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-05-01,13.548
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-06-01,12.283
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-07-01,12.613
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-08-01,12.567
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-09-01,12.417
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-10-01,13.129
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-11-01,14.367
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2001-12-01,14.423
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-01-01,13.707
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-02-01,13.875
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-03-01,13.419
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-04-01,13.983
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-05-01,14.833
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-06-01,13.717
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-07-01,12.968
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-08-01,11.629
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-09-01,11.633
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-10-01,11.677
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-11-01,11.583
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2002-12-01,11.586
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2003-01-01,12.517
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2003-02-01,12.946
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2003-03-01,12.452
"Port Nolloth","SAWS","Port Nolloth/ SAWS",2003-04-01,12.817
