date,cost,litre,odom,full
16-11-08,50,5.7,84849,
16-11-08,20,2.3,84925,
18-11-08,150,17.14,84991,
25-11-08,30,3.4,85174,
01-12-08,70,8,85261,
03-12-08,350,40,85354,1
12-12-08,200,28.1,85967,
22-12-08,242,34,86287,1
NA,NA,NA,86777,1
28-01-09,230,39.7,87483,1
30-01-09,150,25.9,87908,
04-02-09,50,7.81,88390,
05-02-09,100,15.6,88422,
09-02-09,100,15.6,88690,
12-02-09,20,3.13,88912,
14-02-09,250,39,88932,1
03-03-09,286,44.6,89420,1
17-03-09,341,49.8,90096,1
08-04-09,50,6.98,90717,
08-04-09,288,40.2,90782,1
02-05-09,354,49.5,91465,1
14-05-09,100,14,92118,
20-05-09,100,14,92380,
23-05-09,50,7,92651,
23-05-09,50,7,92752,
26-05-09,358,50.2,92916,1
05-06-09,348,47.9,93604,1
NA,391,NA,95464,1
06-08-09,100,13.4,96114,
NA,100,NA,NA,
12-08-09,200,26.7,96467,
16-08-09,100,13.4,96807,
25-08-09,50,6.6,97124,
19-10-10,300,37.9,103070,1
05-11-10,359.5,44.3,103787,1
18-11-10,200,24.7,104337,
26-11-10,100,12.3,104705,
30-11-10,368,45.4,104803,1
02-12-10,219,26.6,105200,1
11-12-10,200,24,105861,
24-12-10,200,24.3,106179,
02-01-11,200,24.3,106572,
09-01-11,200,23.47,106874,
22-01-11,430,50.4,107281,1
01-02-11,352.7,41.4,107797,1
15-02-11,200,22.78,108439,
01-03-11,378,43.05,108628,1
01-04-11,100,10.36,109311,
05-04-11,396.71,43.07,109366,1
27-04-11,200,20.66,110017,
02-05-11,417,43.1,110198,1
23-05-11,200,20.06,110832,
28-05-11,400,40.01,111031,
12-06-11,100,10.05,111645,
17-06-11,100,10.05,111890,
19-06-11,100,10.05,112038,
04-07-11,200,20.1,112132,
07-07-11,347.6,36.06,112280,1
10-07-11,392,40.8,112926,1
18-07-11,392,40.7,113473,1
06-08-11,200,20.39,114128,
15-08-11,100,10.19,114407,
20-08-11,30,3.05,114499,
20-08-11,50,5.1,114590,
28-08-11,200,20.3,114653,
04-09-11,452,45.59,114864,1
24-09-11,493.17,49.8,115529,1
04-10-11,185.7,18.1,115773,1
20-10-11,200,19.49,116363,
27-10-11,300,29.24,116678,
05-11-11,100,9.535,117030,
06-11-11,463.89,44.22,117145,1
09-11-11,200,18.91,117659,
17-12-11,375.2,36.15,119081,1
22-12-11,462.7,44.6,119641,1
30-12-11,484.02,46.63,120279,1
08-01-12,408.55,39.55,120815,1
15-01-12,380.05,36.8,121507,1
20-01-12,434.48,42.14,121997,1
27-01-12,482.43,46.7,122630,1
04-02-12,471.8,42,123278,1
13-02-12,550,51.5,123934,1
19-02-12,468.6,43.9,124524,1
01-03-12,545.8,51.2,125214,1
09-03-12,503.85,46.1,125856,1
19-03-12,522,47.7,126533,1
02-04-12,380,34,127225,1
15-04-12,196.85,17,127520,1
01-05-12,549.55,47.33,128014,1
06-05-12,411.5,34.5,128600,1
11-05-12,509,42.8,129197,1
25-05-12,580,48.8,129750,1
12-06-12,482.8,42.6,130352,1
21-06-12,50,4.4,131001,
24-06-12,100,8.8,131062,
26-06-12,100,8.8,131160,
03-08-12,512,47.9,131256,1
21-08-12,430.7,40.29,131889,1
02-09-12,500,46.64,132340,1
18-09-12,513.3,44,132911,1
02-10-12,354.7,30.5,133333,1
12-10-12,552.12,46.59,133964,1
23-10-12,200,16.8,134608,
31-10-12,523,44.2,134898,1
23-11-12,450.85,38.3,135467,1
11-12-12,575,49.3,135985,1
24-12-12,576.9,49.4,136707,1
31-12-12,200,17.1,137443,
03-01-13,570.6,49.5,137679,1
11-01-13,450,39,138283,1
16-01-13,554.79,48.2,138876,1
27-01-13,407.48,35.4,139510,1
05-02-13,505,43.88,140030,1
15-02-13,448.9,37.66,140664,1
25-02-13,472.6,39.65,141201,1
04-03-13,380,31.88,141653,1
21-03-13,490,38.5,142349,1
30-03-13,674,52.82,142943,1
10-04-13,625.3,48.74,143697,1
21-04-13,100,7.79,144339,
23-04-13,591.4,46.09,144443,1
10-05-13,582.8,48.19,145159,1
26-05-13,460.3,38,145793,1
NA,400,NA,NA,
02-06-13,550.05,45.61,146751,1
18-06-13,485.57,40.4,147380,1
29-06-13,572.67,47.64,148095,1
10-07-13,421,32.79,148727,1
17-07-13,600,46.6,149286,1
30-07-13,587.45,45.54,149939,1
06-08-13,436.21,33.9,150475,1
16-08-13,200,15.18,151170,
28-08-13,663,50.3,151448,1
03-09-13,458.62,34.79,152118,
07-09-13,486.39,36.1,152650,1
16-09-13,200,15.2,153204,
19-09-13,100,7.6,153337,
21-09-13,500.52,38,153508,
01-10-13,100,7.62,154081,
02-10-13,510.7,39.499,154181,1
10-10-13,489.7,38.87,154801,1
20-10-13,450,34.8,155334,
28-10-13,300,23.2,155859,
02-11-13,490.7,37.95,156190,1
15-11-13,200,15.8,156631,
17-12-13,100,7.8,157461,
19-12-13,492.3,38.4,157627,1
27-12-13,541,42.07,158060,1
31-12-13,64,5,158745,
31-12-13,537.8,41.95,158831,1
06-01-14,649.04,49.17,159481,1
25-01-14,665.22,50.24,160103,1
13-02-14,300,22,160700,
16-02-14,595.1,43.2,161074,1
10-03-14,698.1,49.9,161578,1
09-04-14,708.64,50.5,162208,1
25-04-14,100,7.159,162867,
27-04-14,200,14.26,162947,
28-04-14,646.9,46.1,163113,1
24-05-14,687.2,49.69,163797,1
06-06-14,536,39.27,164352,1
21-06-14,620,45.46,165006,1
06-07-14,697,49.93,165671,1
02-08-14,545,39.04,166283,1
24-08-14,686.1,49.28,166853,1
13-09-14,478.06,36.08,167472,1
19-09-14,594.64,44.88,167974,1
12-10-14,636.2,48.197,168749,1
14-11-14,480.5,37.5,169554,1
21-11-14,200,15.69,169970,
22-11-14,570,44.7,170453,1
22-12-14,300,24.9,171046,
31-12-14,200,16.59,171378,
09-01-15,519,47.9,171621,1
28-01-15,100,9.45,172314,
01-02-15,100,9.2,172385,
07-02-15,200,20.2,172514,
01-03-15,480.79,48.56,172820,1
31-03-15,416.89,38.3,173430,1
19-04-15,200,15.68,173966,
21-04-15,200,16.05,174190,
27-04-15,200,16.05,174413,
03-05-15,200,16.05,174630,
09-05-15,300,24.1,174825,
19-05-15,489.85,39.3,175230,1
30-05-15,200,16.05,175691,
12-06-15,300,23.2,175976,
28-06-15,300,23.2,176274,
10-07-15,200,14.99,176571,
11-07-15,300,22.49,176783,
16-07-15,487.38,36.53,177153,1
05-08-15,400,31.2,177634,
23-08-15,400,31.18,178085,
05-09-15,200,16.25,178416,
07-09-15,200,16.2,178548,
17-09-15,200,16.47,178930,
01-10-15,472.6,38.93,179092,1
13-10-15,300,24.63,179688,
25-10-15,200,16.37,180013,
02-11-15,300,24.63,180212,
23-11-15,100,8.37,180604,
04-12-15,300,25.06,180728,
14-12-15,439.2,36.7,180847,1
28-12-15,470.45,39.17,181539,1
06-01-16,481,40.15,182019,1
12-07-16,600.37,46.54,182558,1
17-07-16,496.13,38.58,183107,1
11-08-16,345.19,29.08,183539,1
22-08-16,400,33.7,184113,
02-09-16,200,16.8,184550,
09-09-16,393.1,33.51,184960,1
11-09-16,430.05,36.17,185372,1
02-10-16,406,34.73,185990,1
09-10-16,465,38.24,186560,1
28-10-16,434.1,35.7,187255,1
08-12-16,425.55,34.29,188362,1
27-12-16,200,16.12,188868,
02-01-17,100,8.089,189169,
03-01-17,396.6,31.96,189198,1
16-01-17,400,31.03,189667,
20-01-17,200,15.515,190195,
12-02-17,653.53,49.59,190404,1
17-02-17,200,14.99,191028,
23-02-17,200,15.17,191350,
02-03-17,592.67,45.24,191539,1
30-03-17,200,15.32,192212,
02-04-17,200,15.32,192253,
07-04-17,200,15.56,192531,
12-04-17,498.35,38.75,192784,1
